cvrnum;employees;established;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;currency;
10411793;-;1986;2019;13.659,9;-0,8;99,3;-;-7;814;-8;DKK;
10413494;-;1986;2019;468,52;10,3;79;3.001.900;-;2.398.300;275.000;DKK;
37694037;20 - 49;2016;2018;253,55;15,9;71;-;19.641;21.964;2.448;DKK;
27504639;50 - 99;2004;2019;142,27;3,5;33;89.603;66.050;8.214;664;DKK;
10422345;200 - 499;1986;2019;138,19;19;32;589.455;184.274;75.948;29.250;DKK;
10431514;5 - 9;1968;2019;216,07;-1,1;56;-;3.110;11.748;-281;DKK;
10449871;50 - 99;1986;2019;319,95;27,9;74;-;43.766;32.138;9.271;DKK;
25568397;20 - 49;2000;2019;122,6;3,9;29,1;-;13.855;2.434;232;DKK;
10458048;200 - 499;1986;2019;45,89;3,4;1,5;522.336;255.069;9.217;-36.510;DKK;
37560596;10 - 19;2016;2018;100,35;5,8;15,4;-;1.701;554;29;DKK;
23958414;200 - 499;1957;2019;181,47;12,4;56,2;821;428;279;43;DKK;
10464196;20 - 49;1986;2019;118,15;3,4;23,8;-;9.745;2.256;114;DKK;
10472733;50 - 99;1986;2019;100,62;7;39,8;-;25.618;24.393;4.350;DKK;
10476305;20 - 49;1986;2019;80,21;3,4;52,9;-;4.175;18.826;646;DKK;
38282190;5 - 9;2016;2019;87,36;23,9;16;-;1.381;245;228;DKK;
10484448;50 - 99;1986;2020;178,6;7,1;41,8;-;24.659;17.815;1.974;DKK;
10486580;20 - 49;1986;2019;138,63;11,2;46,6;-;10.605;4.647;834;DKK;
10499542;50 - 99;1986;2019;88,79;4,3;20,9;-;8.350;8.244;1.345;DKK;
41384719;20 - 49;1975;2019;150,18;17,3;35,5;-;15.489;7.571;2.900;DKK;
10501148;50 - 99;1986;2019;222,3;50,1;48,6;-;61.420;11.834;9.808;DKK;
24257843;100 - 199;1999;2019;136,83;12;29,1;12.574.000;7.582.000;4.849.000;1.468.000;DKK;
10502306;100 - 199;1986;2018;201,93;-5,9;12,9;-;51.688;26.614;-15.290;DKK;
28702612;50 - 99;2005;2019;93,5;47,2;32,8;-;58.766;10.896;11.792;DKK;
10503698;500 - 999;1986;2019;174,98;13,2;30,2;2.266.301;231.914;299.607;101.566;DKK;
10511038;10 - 19;1986;2019;212,91;6,4;37,3;-;5.588;3.430;354;DKK;
10515637;10 - 19;1986;2019;846,97;25,9;88,1;-;10.731;10.221;2.190;DKK;
10518431;-;1986;2018;60,62;-15,7;5,5;-;-1.914;3.681;-9.950;DKK;
33786646;10 - 19;2011;2019;110,35;6,3;12,2;-;18.622;3.829;853;DKK;
10518903;10 - 19;1986;2019;85,84;-5,1;26,3;-;3.028;1.160;-201;DKK;
10520037;10 - 19;1986;2019;194,95;15,8;50,3;-;8.192;5.768;1.296;DKK;
38278797;5 - 9;2016;2019;103;8;25,6;-;2.835;466;122;DKK;
14314709;50 - 99;1990;2019;55,8;-142,4;3,1;51.014;33.795;640;-24.303;DKK;
31182808;2 - 4;2008;2018;34,23;11,8;22,1;-;1.711;263;100;DKK;
10531837;20 - 49;1986;2019;78,05;7,6;7,6;-;26.002;2.143;888;DKK;
38105361;10 - 19;2016;2019;96,83;2,4;8,9;-;6.509;563;63;DKK;
38139568;10 - 19;2016;2018;192,98;8,3;4,5;-;3.896;412;306;DKK;
10547431;10 - 19;1986;2019;167,12;29,9;40,7;-;6.542;2.269;1.177;DKK;
10555787;50 - 99;1986;2019;180,2;11,2;40,4;-;38.187;10.521;2.156;DKK;
10559987;20 - 49;1987;2019;238,5;33,1;55,5;-;30.124;22.734;10.529;DKK;
10560179;5 - 9;1987;2019;147,43;17,3;31,7;-;3.312;977;332;DKK;
10564239;5 - 9;1986;2019;170,04;17,1;43,2;-;3.000;2.909;831;DKK;
10580943;10 - 19;1987;2019;499,34;5,3;60,5;-;8.990;14.554;1.062;DKK;
10586984;20 - 49;1987;2019;183,62;13,1;47,3;-;14.808;10.695;2.313;DKK;
25511484;-;2000;2019;125,32;-3,3;27,9;6.059.032;1.007.464;777.559;-11.999;DKK;
10604001;50 - 99;1986;2019;225,5;24,7;42,2;-;17.181;17.267;7.399;DKK;
10611539;10 - 19;1986;2018;77,05;6,7;65,3;-;7.040;8.430;993;DKK;
10613442;20 - 49;1987;2019;122,23;7,1;53,3;-;18.580;15.270;1.868;DKK;
10621577;200 - 499;1987;2018;138,89;3;31,4;1.030.990;284.754;224.428;24.058;DKK;
10628334;20 - 49;1987;2019;95,42;-11,9;2,1;-;12.427;183;-890;DKK;
10633044;50 - 99;1987;2019;174,05;3;44,2;-;11.833;7.585;357;DKK;
18556839;50 - 99;1995;2019;151,78;6,8;38,2;-;18.377;16.559;1.230;DKK;
10643597;100 - 199;1986;2020;214,3;24,6;57,8;341.646;88.741;117.290;39.355;DKK;
