pnum;cvrnum;edunum;postalcode;municipalitycode;regioncode;regionyearofmeasurement;regionpopulation;approvalamount;currentamount;propensity;nearestfacilitykm;sectorcode;businesscode;employees;established;committeecode;municipalityyearofmeasurement;municipalitypopulation;avgcommutekm;employmentrate;employmentavailabilityrate;yearlydisposableincome;pubyear;liquidityratio;roi;solvencyratio;netturnover;grossprofit;equity;netresult;balance;currency
1016722681;33574959;1205;1306;101;1084;2019;1848989;2.0;0.0;0.0;15.1;619000.0;80.0;5.0;2011.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;146.42;138.0;31.7;;8934.0;845.0;2858.0;;DKK
1016729988;33576803;92;6630;510;1083;2019;1223894;2.0;1.0;0.5;36.5;452010.0;80.0;2.0;2011.0;61;2018;55641;27.3;73.9;76.2;212391.0;2018.0;613.7;25.1;85.1;;1412.0;1850.0;423.0;;DKK
1016730137;33576862;92;2610;101;1084;2019;1848989;2.0;1.0;0.5;12.9;452010.0;80.0;2.0;2011.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;86.48;13.6;42.5;;735.0;523.0;166.0;;DKK
1016731249;33577192;92;8783;615;1082;2019;1326913;3.0;0.0;0.0;25.7;452010.0;80.0;5.0;2011.0;61;2018;91296;22.1;75.4;77.6;230081.0;2019.0;276.78;33.8;43.2;;2842.0;1338.0;791.0;;DKK
1016732873;33577591;1205;6300;540;1083;2019;1223894;12.0;7.0;0.583333333333333;20.1;619000.0;60.0;50.0;2011.0;61;2018;74233;20.1;72.9;75.3;215616.0;2019.0;188.56;54.1;48.9;;68111.0;32596.0;28117.0;;DKK
1016733438;33577931;92;5853;430;1083;2019;1223894;1.0;0.0;0.0;24.6;412000.0;80.0;;2011.0;61;2018;51566;25.8;73.7;76.3;214986.0;2019.0;1223.88;-108.2;91.8;;-66.0;56.0;-66.0;;DKK
1021579927;37860549;1205;4600;259;1085;2019;837087;2.0;2.0;1.0;27.9;620200.0;80.0;5.0;2016.0;61;2018;60836;25.7;77.1;79.5;236936.0;2019.0;11.93;-81.3;-130.3;1169.0;252.0;-526.0;-394.0;;DKK
1002905077;25286634;1110;4130;259;1085;2019;837087;1.0;1.0;1.0;13.2;282200.0;60.0;10.0;2000.0;61;2018;60836;25.7;77.1;79.5;236936.0;2019.0;130.17;9.8;25.6;;7485.0;1684.0;398.0;;DKK
1016761121;33585535;1220;8700;615;1082;2019;1326913;1.0;0.0;0.0;31.2;271100.0;80.0;2.0;2011.0;61;2018;91296;22.1;75.4;77.6;230081.0;2019.0;53.07;9.9;38.9;;1481.0;1731.0;308.0;;DKK
1016763590;33586752;1515;1100;101;1084;2019;1848989;1.0;0.0;0.0;34.4;620100.0;80.0;5.0;2011.0;59;2018;633021;12.6;73.2;76.2;228338.0;2019.0;110.11;-9.1;26.3;;3199.0;572.0;-205.0;;DKK
1016777419;33591489;1205;1401;101;1084;2019;1848989;2.0;0.0;0.0;14.7;620900.0;70.0;5.0;2011.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;84.77;23.4;5.4;;5769.0;359.0;1467.0;;DKK
1023635123;30003519;1205;8752;615;1082;2019;1326913;1.0;1.0;1.0;32.5;467310.0;60.0;;1970.0;61;2018;91296;22.1;75.4;77.6;230081.0;2019.0;26.78;0.7;26.1;13213000.0;;2070000.0;538000.0;;DKK
1013164416;30003519;1205;6900;760;1082;2019;1326913;1.0;1.0;1.0;93.6;467310.0;60.0;;1970.0;61;2018;56622;21.6;77.8;79.8;221198.0;2019.0;26.78;0.7;26.1;13213000.0;;2070000.0;538000.0;;DKK
1016802553;33598211;1110;6000;621;1083;2019;1223894;1.0;0.0;0.0;2.4;439990.0;60.0;5.0;2011.0;61;2018;93282;24.6;76.6;78.9;232918.0;2019.0;118.5;16.4;25.0;;6506.0;2115.0;945.0;;DKK
1016803932;33598564;92;2100;101;1084;2019;1848989;4.0;0.0;0.0;22.5;452010.0;80.0;2.0;2011.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;454.17;25.6;73.9;;1364.0;1568.0;419.0;;DKK
1016806605;33599374;1110;2720;101;1084;2019;1848989;1.0;0.0;0.0;14.6;251100.0;80.0;5.0;2011.0;61;2018;633021;12.6;73.2;76.2;228338.0;2019.0;37.88;27.0;-151.8;;2257.0;-1926.0;286.0;;DKK
1016807997;33599692;1110;6600;575;1083;2019;1223894;2.0;3.0;1.5;22.1;282900.0;80.0;10.0;2011.0;61;2018;42703;26.4;78.0;80.0;218332.0;2019.0;127.53;2.8;34.1;;7987.0;3692.0;88.0;;DKK
1003891572;19599108;1205;5700;479;1083;2019;1223894;2.0;1.0;0.5;70.2;931100.0;80.0;20.0;1996.0;61;2018;58485;26.3;70.6;73.3;218492.0;2019.0;89.1;-11.4;16.4;;9363.0;973.0;-531.0;;DKK
1011580889;28899629;1205;4000;169;1084;2019;1848989;2.0;0.0;0.0;30.8;620100.0;60.0;5.0;2005.0;61;2018;50964;17.2;74.4;77.5;225609.0;2019.0;344.93;54.9;77.0;;5436.0;3819.0;2119.0;;DKK
1016856602;33639317;1110;4000;169;1084;2019;1848989;10.0;1.0;0.1;3.5;282200.0;60.0;500.0;2011.0;61;2018;50964;17.2;74.4;77.5;225609.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016856033;33639317;1110;8464;746;1082;2019;1326913;4.0;0.0;0.0;27.3;282200.0;60.0;500.0;2011.0;61;2018;62479;24.7;80.8;82.5;259984.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016856068;33639317;1110;6230;580;1083;2019;1223894;4.0;0.0;0.0;37.4;282200.0;60.0;500.0;2011.0;61;2018;58780;24.2;74.0;76.4;213650.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016856602;33639317;1235;4000;169;1084;2019;1848989;4.0;2.0;0.5;247.9;282200.0;60.0;500.0;2011.0;61;2018;50964;17.2;74.4;77.5;225609.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
1016856041;33639317;1235;9400;851;1081;2019;590580;2.0;1.0;0.5;49.2;282200.0;60.0;500.0;2011.0;61;2018;217142;25.3;71.0;74.4;218056.0;2018.0;183.12;9.0;53.0;916036.0;108053.0;284360.0;36174.0;;DKK
